Landmark Name,X,Y,Z,Squat Type
Left Elbow,0.5501478314399719,0.3010543286800385,0.1929379850625992,Correct
Right Elbow,0.560982882976532,0.3015484809875488,-0.3807662427425385,Correct
Left Wrist,0.5633827447891235,0.2843241691589355,0.1248033940792084,Correct
Right Wrist,0.6353861093521118,0.2616546750068665,-0.3604333102703094,Correct
Left Pinky,0.5682257413864136,0.2812243103981018,0.1067702397704124,Correct
Right Pinky,0.6525227427482605,0.2521884441375732,-0.3833214044570923,Correct
Left Index,0.561084508895874,0.2743424773216248,0.0926717519760131,Correct
Right Index,0.6457048058509827,0.2468709498643875,-0.3782182335853577,Correct
Left Hip,0.4819244742393494,0.4833014607429504,0.1159805804491043,Correct
Right Hip,0.4640301764011383,0.4892775118350983,-0.11604905128479,Correct
Left Knee,0.4910986721515656,0.6489297747612,0.1176887825131416,Correct
Right Knee,0.4838925302028656,0.6548628211021423,-0.087320975959301,Correct
Left Ankle,0.4726144075393677,0.7900682687759399,0.2144985944032669,Correct
Right Ankle,0.4755917489528656,0.8118590116500854,-0.0190855823457241,Correct
Left Heel,0.4558975398540497,0.8094712495803833,0.2186432033777237,Correct
Right Heel,0.4570341408252716,0.8336029648780823,-0.0179680809378624,Correct
Left Foot Index,0.519254744052887,0.8372547626495361,0.1404338032007217,Correct
Right Foot Index,0.528398334980011,0.8591117262840271,-0.1213943958282471,Correct
Left Elbow,0.5584783554077148,0.2956312000751495,0.1807309091091156,Correct
Right Elbow,0.5289050936698914,0.2928080558776855,-0.4915520250797272,Correct
Left Wrist,0.5691595673561096,0.2772170901298523,0.131583645939827,Correct
Right Wrist,0.6233330368995667,0.2620516717433929,-0.5992118716239929,Correct
Left Pinky,0.5731943845748901,0.2735740542411804,0.1203246936202049,Correct
Right Pinky,0.6450821161270142,0.2563938200473785,-0.6318808197975159,Correct
Left Index,0.5640357136726379,0.2695993483066559,0.1057320684194565,Correct
Right Index,0.6397773623466492,0.2500852346420288,-0.6197348237037659,Correct
Left Hip,0.495669960975647,0.5032433867454529,0.1139724776148796,Correct
Right Hip,0.4668606221675873,0.5103763937950134,-0.1141199171543121,Correct
Left Knee,0.5070130228996277,0.672600507736206,0.1171142235398293,Correct
Right Knee,0.4807687997817993,0.689430296421051,-0.0903374031186103,Correct
Left Ankle,0.480911523103714,0.8226150870323181,0.205923318862915,Correct
Right Ankle,0.4527420699596405,0.8556236028671265,-0.0319368690252304,Correct
Left Heel,0.4604199528694153,0.8422948718070984,0.2079790532588959,Correct
Right Heel,0.4301807284355164,0.8767542243003845,-0.0335411392152309,Correct
Left Foot Index,0.5297237634658813,0.8747589588165283,0.1195910945534706,Correct
Right Foot Index,0.5103660821914673,0.9106111526489258,-0.1467655301094055,Correct
Left Elbow,0.5545570254325867,0.3054969608783722,0.2235790193080902,Correct
Right Elbow,0.5039710402488708,0.3049796223640442,-0.4442071318626404,Correct
Left Wrist,0.5672509670257568,0.2838136553764343,0.2223642468452454,Correct
Right Wrist,0.6064438223838806,0.2595209181308746,-0.5337639451026917,Correct
Left Pinky,0.5701109170913696,0.278575211763382,0.2167716771364212,Correct
Right Pinky,0.6318821310997009,0.2489031255245209,-0.5698532462120056,Correct
Left Index,0.5647985339164734,0.2734651863574982,0.1956370025873184,Correct
Right Index,0.625451922416687,0.2404239177703857,-0.5577133297920227,Correct
Left Hip,0.5028887987136841,0.5062006711959839,0.1146062538027763,Correct
Right Hip,0.4655286967754364,0.5129309296607971,-0.1146527379751205,Correct
Left Knee,0.5153586864471436,0.6678580641746521,0.1476774364709854,Correct
Right Knee,0.4749181866645813,0.6937991976737976,-0.122508242726326,Correct
Left Ankle,0.4875138998031616,0.8130203485488892,0.2844632267951965,Correct
Right Ankle,0.4507880508899689,0.860930860042572,-0.0739148631691932,Correct
Left Heel,0.4677801132202148,0.8336842060089111,0.2910768687725067,Correct
Right Heel,0.4302065968513489,0.8834338784217834,-0.0767614766955375,Correct
Left Foot Index,0.5333715081214905,0.8659847378730774,0.1984567046165466,Correct
Right Foot Index,0.5052362680435181,0.9217475056648254,-0.2025078684091568,Correct
Left Elbow,0.5510236024856567,0.3068508505821228,0.2151651829481125,Correct
Right Elbow,0.5074516534805298,0.3094238936901093,-0.4538890421390533,Correct
Left Wrist,0.58135586977005,0.2800437211990356,0.1686339378356934,Correct
Right Wrist,0.6145423650741577,0.2622675597667694,-0.5613547563552856,Correct
Left Pinky,0.5881755352020264,0.2728495001792908,0.1598273813724518,Correct
Right Pinky,0.6410093307495117,0.2525766789913177,-0.5926958322525024,Correct
Left Index,0.5792919397354126,0.2686290740966797,0.1364899426698685,Correct
Right Index,0.6354466676712036,0.2427674233913422,-0.5812724232673645,Correct
